Year,Player,FJMVP
2022.0,Stephen Curry,1
2021.0,Giannis Antetokounmpo,1
2020.0,LeBron James,1
2019.0,Kawhi Leonard,1
2018.0,Kevin Durant,1
2017.0,Kevin Durant,1
2016.0,LeBron James,1
2015.0,Andre Iguodala,1
2014.0,Kawhi Leonard,1
2013.0,LeBron James,1
2012.0,LeBron James,1
2011.0,Dirk Nowitzki,1
2010.0,Kobe Bryant,1
2009.0,Kobe Bryant,1
2008.0,Paul Pierce,1
2007.0,Tony Parker,1
2006.0,Dwyane Wade,1
2005.0,Tim Duncan,1
2004.0,Chauncey Billups,1
2003.0,Tim Duncan,1
2002.0,Shaquille O'Neal,1
2001.0,Shaquille O'Neal,1
2000.0,Shaquille O'Neal,1
1999.0,Tim Duncan,1
1998.0,Michael Jordan,1
1997.0,Michael Jordan,1
1996.0,Michael Jordan,1
1995.0,Hakeem Olajuwon,1
1994.0,Hakeem Olajuwon,1
1993.0,Michael Jordan,1
1992.0,Michael Jordan,1
1991.0,Michael Jordan,1
1990.0,Isiah Thomas,1
1989.0,Joe Dumars,1
1988.0,James Worthy,1
1987.0,Magic Johnson,1
1986.0,Larry Bird,1
1985.0,Kareem Abdul-Jabbar,1
1984.0,Larry Bird,1
1983.0,Moses Malone,1
1982.0,Magic Johnson,1
1981.0,Cedric Maxwell,1
1980.0,Magic Johnson,1
1979.0,Dennis Johnson,1
1978.0,Wes Unseld,1
1977.0,Bill Walton,1
1976.0,Jo Jo White,1
1975.0,Rick Barry,1
1974.0,John Havlicek,1
1973.0,Willis Reed,1
1972.0,Wilt Chamberlain,1
1971.0,Kareem Abdul-Jabbar,1
1970.0,Willis Reed,1
1969.0,Jerry West,1
