Year,Player,MVP
2022.0,Nikola Joki?,1
2021.0,Nikola Joki?,1
2020.0,Giannis Antetokounmpo,1
2019.0,Giannis Antetokounmpo,1
2018.0,James Harden,1
2017.0,Russell Westbrook,1
2016.0,Stephen Curry,1
2015.0,Stephen Curry,1
2014.0,Kevin Durant,1
2013.0,LeBron James,1
2012.0,LeBron James,1
2011.0,Derrick Rose,1
2010.0,LeBron James,1
2009.0,LeBron James,1
2008.0,Kobe Bryant,1
2007.0,Dirk Nowitzki,1
2006.0,Steve Nash,1
2005.0,Steve Nash,1
2004.0,Kevin Garnett,1
2003.0,Tim Duncan,1
2002.0,Tim Duncan,1
2001.0,Allen Iverson,1
2000.0,Shaquille O'Neal,1
1999.0,Karl Malone,1
1998.0,Michael Jordan,1
1997.0,Karl Malone,1
1996.0,Michael Jordan,1
1995.0,David Robinson,1
1994.0,Hakeem Olajuwon,1
1993.0,Charles Barkley,1
1992.0,Michael Jordan,1
1991.0,Michael Jordan,1
1990.0,Magic Johnson,1
1989.0,Magic Johnson,1
1988.0,Michael Jordan,1
1987.0,Magic Johnson,1
1986.0,Larry Bird,1
1985.0,Larry Bird,1
1984.0,Larry Bird,1
1983.0,Moses Malone,1
1982.0,Moses Malone,1
1981.0,Julius Erving,1
1980.0,Kareem Abdul-Jabbar,1
1979.0,Moses Malone,1
1978.0,Bill Walton,1
1977.0,Kareem Abdul-Jabbar,1
1976.0,Kareem Abdul-Jabbar,1
1975.0,Bob McAdoo,1
1974.0,Kareem Abdul-Jabbar,1
1973.0,Dave Cowens,1
1972.0,Kareem Abdul-Jabbar,1
1971.0,Kareem Abdul-Jabbar,1
1970.0,Willis Reed,1
1969.0,Wes Unseld,1
1968.0,Wilt Chamberlain,1
1967.0,Wilt Chamberlain,1
1966.0,Wilt Chamberlain,1
1965.0,Bill Russell,1
1964.0,Oscar Robertson,1
1963.0,Bill Russell,1
1962.0,Bill Russell,1
1961.0,Bill Russell,1
1960.0,Wilt Chamberlain,1
1959.0,Bob Pettit,1
1958.0,Bill Russell,1
1957.0,Bob Cousy,1
1956.0,Bob Pettit,1
